full_text,sentiment,confidence,full_text_length
alas shin tae yong tumpuk pemain naturalisasi timnas indonesia,neutral,99.60%,80
media vietnam panas dingin dengar naturalisasi justin hubner selesai timnas indonesia,neutral,91.60%,102
anggota exco pssi arya sinulingga bocor kisi kisi calon pemain naturalisasi baru timnas indonesia turut pemain lini serang dekat kali muda usia matang sesuai mau shin tae yong,neutral,97.86%,244
keri justin hubner naturalisasi kuat tahan timnas indonesia,neutral,97.08%,97
salah raka maen timnas darah indonesia beda liwat jalur naturalisasi,positive,48.75%,117
enam pemain naturalisasi main posisi bek posisi gelandang serang imbang potensi timnas indonesia asuh shin tae yong berat belah,neutral,42.84%,226
pssi naturalisasi pemain eropa pemain senior dampak timnas indonesia,neutral,99.59%,119
tidak ngomong ngelarang pemain turun main timnas indonesia fakta gencar gencar naturalisasi pemain eropa coba sebut bukan pemain eropa bela timnas indonesia tidak panggil tanah lahir,negative,92.31%,283
yaa hasil bela timnas ngebela indonesia ngerti gaa statement lu gaa sok sok suruh lokal doang naturalisasi lokal gaa bedanyaa lokal main liga lokal,negative,95.99%,243
jelang lawan irak shin tae yong beber picu timnas indonesia tabur pemain naturalisasi,neutral,99.78%,96
timnas u indonesia pemain impor kualitas latar kontras pemain naturalisasi amar brkic darah bosnia welber jardim brasil,positive,48.26%,211
salah media vietnam langsung aku kualitas shin tae yong latih kelas daya tarik sendiri pemain naturalisasi bela timnas indonesia kondisi bahaya vietnam,positive,66.83%,228
tebak calon pemain naturalisasi timnas indonesia gelandang striker lengkap,neutral,99.60%,88
komentar kelas dendy sulistyawan tambah striker naturalisasi timnas indonesia,neutral,99.76%,89
main eropa pemain naturalisasi timnas indonesia gagal sinar nasib,negative,99.17%,105
bukan elkan baggott timnas indonesia datang pemain naturalisasi jebol liga inggris,neutral,98.03%,100
timnas indonesia media malaysia vietnam sorot program naturalisasi,neutral,99.75%,71
pssi ciri ciri calon pemain naturalisasi timnas indonesia,neutral,99.62%,68
anggota exco pssi arya sinulingga bocor ciri ciri calon pemain naturalisasi timnas indonesia,neutral,99.70%,102
kenal justin hubner pemain naturalisasi selang bela timnas indonesia,neutral,99.13%,84
pssi ambil langkah taktis kuat baris timnas indonesia rencana naturalisasi pemain turun main er,neutral,99.06%,150
ciri ciri calon pemain naturalisasi timnas indonesia,neutral,97.97%,57
pemain naturalisasi pemain indonesia timur timnas,neutral,98.83%,61
media malaysia vietnam ketar tir program naturalisasi timnas indonesia keri,negative,84.47%,109
proses naturalisasi justin hubner tahap pemain posisi bek mati shin tae yong skuad timnas indonesia u tampil piala dunia u,neutral,93.87%,204
shin tae yong timnas indonesia tampil takut piala asia berkat tambah pemain naturalisasi timnas indonesia tampil takut piala asia berkat tambah pemain naturalisasi,neutral,96.35%,194
daftar calon pemain naturalisasi timnas indonesia,neutral,99.75%,54
media vietnam panas dingin lihat naturalisasi justin hubner timnas indonesia,neutral,89.10%,79
nama cuat erick thohir naturalisasi gelandang striker timnas indonesia,neutral,99.61%,104
terus anggap liga tidak tidak terus team nya bukan timnas indonesia timnas naturalisasi segitunya ken prestasi instant,negative,91.44%,173
henti program naturalisasi pemain turun pssi proses naturalisasi jay idzes nathan tjoe a on justin hubner lantas pssi naturalisasi pemain tambah kuat timnas,neutral,91.46%,250
timnas indonesia datang pemain naturalisasi serang gelandang,neutral,99.71%,81
bukan skill shin tae yong sorot tajam lemah pemain lokal hapus naturalisasi timnas indonesia,neutral,96.50%,108
banding bek naturalisasi timnas indonesia bagus cek lengkap,neutral,90.15%,88
bocor erick thohir naturalisasi pemain timnas indonesia serang gelandang,neutral,99.65%,100
shin tae yong pemain naturalisasi timnas indonesia takut,neutral,57.54%,66
shin tae yong peran vital asnawi mangkualam pemain naturalisasi timnas indonesia,neutral,99.70%,94
justin hubner naturalisasi rumput timnas indonesia lawan irak,neutral,99.43%,80
bek resmi wni shin tae yong buru serang naturalisasi timnas indonesia,neutral,99.76%,99
shin tae yong betapa pemain naturalisasi timnas indonesia piala asia turut pemain lokal indonesia kalah olah si kulit bundar,positive,72.91%,218
bek jangkung tinggi m kabar erick thohir proses naturalisasi lanjut tinggal tunggu pus presiden ambil sumpah warga negara,neutral,99.33%,157
tidak kalah indonesia timnas vietnam naturalisasi kiper republik ceko,neutral,95.27%,89
kurang pemain pemain indonesia tenggelam takut kalah banding skill tae yong wawancara laman best eleven pemain timnas naturalisasi hapus kurang,negative,46.23%,269
proyek naturalisasi pemain timnas indonesia aku positif media korea selatan,neutral,79.84%,95
legenda spanyol timnas indonesia untung naturalisasi jordi,neutral,98.85%,72
media vietnam nyinyirin timnas indonesia candu naturalisasi pemain eropa,negative,61.57%,76
lihat ig klub sepakbola pemain timnas abroad ngepost clickbait pakai gambar pemain timnasnya dikomentarin netizen indonesia ig pssi ngelakuin postingannya clickbait pakai gambar pemain diaspora naturalisasi,positive,53.25%,263
voli naturalisasi tidak sih uda main timnas senior kayak badminton ton gunawan mia audina seru sih emang larang main indonesia naturalisasi thailand gitu win win rivan tidak main indo mau pbvsi karir rivan tidak mati,positive,90.20%,279
latih timnas indonesia shin tae yong dorong satu sepak bola indonesia pssi proses naturalisasi chow yun damanik latih timnas u bima sakti butuh jasa piala dunia u,neutral,96.65%,230
menpora proses naturalisasi timnas indonesia jay idzes nathan tjoe a on bicara var lengkap,neutral,99.72%,110
media korea kagum proyek naturalisasi timnas indonesia jeli incar pemain turun,positive,96.69%,111
timnas indonesia hadap vietnam kualifikasi piala dunia zona asia piala asia media vietnam ketar tir pasu shin tae yong alas salah satu program naturalisasi gaung pssi,neutral,90.24%,236
naturalisasi latih captions gap jurang sektor latih tim nasional indonesia lokal asing bukan banding realitas kalah timnas u china taipei korea utara,neutral,74.15%,264
pssi chow yun damanik jalan proses naturalisasi pemain turun darah pantai gading gabung timnas u indonesia jerman,neutral,98.25%,193
jk skemany naturalisasi posisi chow mikir mending timnas swiss rumorny masuk radar federasi indonesia hrus mikir gimana karirny nnti hilang kewarganegaraan eropany muda sm prosedur trial dperbaiki agr tidak sakit,negative,54.78%,281
naturalisasi jay idzes nathan tjoe a on kebut siap bela timnas indonesia vs irak,neutral,99.74%,97
shin tae yong kabar gembira pemain naturalisasi peluang tampil timnas indonesia,neutral,98.43%,115
piala dunia u pssi buka peluang naturalisasi chow yun damanik timnas indonesia,neutral,99.63%,92
media vietnam timnas indonesia laku naturalisasi saing,neutral,99.29%,97
sisi jay idzes calon pemain naturalisasi timnas indonesia tempa belanda hijrah italia,neutral,99.58%,98
naturalisasi pemain turun eropa jay idzes nathan tjoe a on timnas indonesia proses dewan wakil rakyat dpr ri,neutral,99.64%,156
timnas indonesia sindir candu naturalisasi kalah vietnam,neutral,95.13%,73
kabar naturalisasi pemain eropa timnas indonesia proses dpr,neutral,99.35%,91
proses naturalisasi pemain turun bela timnas indonesia jay idzes nathan tjoe a on kebut kini urus naturalisasi dpr lengkap,neutral,97.99%,190
naturalisasi gakan main timnas indonesia naturalisasi tidak pemain timnas bang hehe,negative,75.35%,121
update pemain naturalisasi timnas indonesia erick thohir november selesai cium tangan menpora,neutral,99.72%,99
naturalisasi jawa felix timnas indonesia,neutral,99.79%,50
kalo casenya ibu tidak panjang paspor indonesia jalanin naturalisasi kalo paspor indonesia satu chow yun main timnas naturalisasi,negative,84.57%,187
proses naturalisasi pemain turun bela timnas indonesia kebut pasti menteri pemuda olahraga menpora dito ariotedjo,neutral,99.54%,171
irak hadap timnas indonesia hadir pemain naturalisasi swedia klub zlatan ibrahimovic,neutral,98.84%,137
media vietnam sorot langkah pssi naturalisasi pemain nilai pssi kuat timnas indonesia jumpa vietnam,neutral,93.81%,192
pssi usaha proses naturalisasi jay nathan cepat selesai kuat timnas indonesia turnamen,neutral,99.34%,111
respons kevin diks ramai proses naturalisasi timnas indonesia,neutral,99.78%,72
naturalisasi proses jay idzes nathan tjoe a on peluang debut bela timnas indonesia vs vietnam kualifikasi piala dunia,neutral,99.51%,129
irak milik pemain naturalisasi main klub zlatan ibrahimovic liga swedia sosok main serang usia timnas indonesia waspada ya,neutral,65.72%,194
erick thohir proses naturalisasi nathan tjoe a on jay idzes selesai maret so bela timnas indonesia piala asia shin tae yong pantau kondisi,neutral,99.23%,235
latih timnas indonesia shin tae yong diskriminasi pemain lokal naturalisasi kuat skuad garuda yuk sudah debat main ayo dukung,neutral,48.23%,208
jelang lawan timnas indonesia irak kebut proses naturalisasi wonderkid swedia,neutral,99.68%,87
timnas indonesia naturalisasi pemain striker,neutral,98.30%,74
naturalisasi timnas indonesia maksud,neutral,78.48%,43
erick thohir update proses naturalisasi jay idzes nathan a tjoen timnas indonesia,neutral,99.77%,88
ketua pssi erick thohir kejar proses naturalisasi jay idzes nathan tjoe a on cepat rampung tuju pemain kuat timnas indonesia kualifikasi piala dunia,neutral,96.47%,216
thailand naturalisasi pemain milik label swedia tanda kalah timnas indonesia penuh pemain naturalisasi,neutral,98.51%,150
calon pemain naturalisasi timnas indonesia nathan tjoe a on debut swansea city adaptasi klub liga inggris,positive,58.01%,153
media vietnam heran timnas indonesia naturalisasi pemain,neutral,99.18%,76
profil elkan baggott pemain timnas indonesia bukan naturalisasi,neutral,99.50%,63
striker naturalisasi timnas indonesia sandy walsh main liga,neutral,99.60%,68
pemain naturalisasi timnas indonesia baru,neutral,99.34%,44
pemain naturalisasi timnas indonesia era shin tae yong kontribusi,neutral,94.05%,87
pemain pny darah indonesia klu bela timnas salah jawabanny lu sebutin momen nularin ilmuny pemain lokal ketua bilang proses jalan naturalisasi bina,negative,70.95%,289
calon pemain naturalisasi timnas indonesia jay idzes diagnosis derita sakit trombosis vena tepat kamis venezia tim sepakbola umum kondisi sehat jay idzes karier sepak bola,neutral,98.61%,232
mata mata media jepang football tribe japan ingat timnas jepang tidak remeh timnas indonesia tanding piala asia gaung potensi bahaya gencar proyek naturalisasi inisiatif shin tae yong,neutral,88.95%,270
pemain naturalisasi timnas indonesia marques bolden main tim nba milwaukee bucks menandatangani kontrak arah two way contract mungkin main bucks,neutral,98.47%,192
pemain naturalisasi timnas indonesia marques bolden main tim nba milwaukee bucks menandatangani kontrak arah two way contra,neutral,99.49%,149
didiagnosa sakit paru kabar baru jay idzes pemain naturalisasi timnas indonesia,neutral,99.75%,99
ada timnas gelandang lahir utrecht laga divisi empat liga spanyol,neutral,97.24%,113
rizky ridho bek lokal timnas indonesia produktif gempur pemain naturalisasi,positive,54.21%,92
pemain naturalisasi pilih shin tae yong gabung timnas indonesia keri irak jiper tidak,negative,96.72%,100
calon pemain naturalisasi timnas indonesia jay idzes kabar klub venezia tim sepakbola alami paru paru baca berita,neutral,98.57%,138
sih towel ken henti hak orang bela timnas naturalisasi pemain turun ya hak bela indonesia asas indonesia orang tua bukan tanah lahir kalo ortu nya dri indonesia brhak aju kewargangaraan,negative,97.87%,278
calon pemain naturalisasi timnas indonesia jay idzes diagnosis sakit paru paru,neutral,99.76%,86
latih timnas indonesia shin tae yong resah pemain lokal naturalisasi pasca kualifikasi piala dunia lawan brunei lengkap,neutral,99.50%,148
jago dikit naturalisasi mikirin nasib jago indonesia tidak andil hidup tidak laku timnas cuekin tidak pertanggungjawaban manfaatin pemain bagus doang kejam banget mainin karir orang,negative,99.65%,250
towel kritik pssi naturalisasi nathan tjoe a on singgung kualitas bek timnas indonesia,neutral,99.69%,96
naturalisasi baik banyak usia muda fisik atas pemain indonesia mudah mudah saing timnas sengit tidak gampang masuk timnas standar mudah an prestasi tingkat,positive,94.93%,233
bodo piala dunia indonesia lolos naturalisasi lokal pret bodo timnas mai enak tonton,negative,68.12%,125
calon pemain naturalisasi timnas indonesia jay idzes diagnosis idap sakit serius,neutral,99.58%,89
pemain main eropa calon naturalisasi kuat timnas indonesia timnas indonesia raih hasil putar kualifikasi piala dunia zona asia kalah brunei,neutral,78.38%,205
towel sentil pssi naturalisasi bek swansea city nathan tjoe a on towel nilai rencana naturalisasi nathan tjoe a on timbul debat timbul tumpu sektor lini timnas indonesia towel nilai kualitas,neutral,95.15%,270
latih shin tae yong mohon jangan unsur diskriminasi pemain lokal naturalisasi kuat timnas indonesia lengkap,neutral,89.68%,154
kabar sedap timpa bek venezia tim sepakbola jay idzes calon pemain naturalisasi timnas indonesia lapor alami sakit paru paru,neutral,97.78%,132
kait polemik local pride naturalisasi timnas indonesia shin tae yong bilang,neutral,99.70%,92
shin tae yong unsur diskriminasi pemain lokal naturalisasi kuat timnas indonesia shin tae yong harga pemain skuad garuda,neutral,85.99%,216
pesan shin tae yong pasca timnas indonesia laju kualifikasi putar piala dunia latih timnas indonesia ungkap resah pemain lokal naturalisasi,neutral,99.47%,210
marc klok dapat polemik naturalisasi timnas indonesia juang garuda dada,neutral,99.13%,112
pemain turun beda naturalisasi darah indonesia hak bela timnas,positive,47.73%,112
latih timnas indonesia shin tae yong tidak senang tim jago hadir pemain naturalisasi,neutral,83.07%,124
latih timnas malaysia kim pan gon balas tohok sindir lontar latih timnas india igor stimac igor stimac sindir berkat pemain naturalisasi tampil malaysia katrol,neutral,89.18%,221
atur naturalisasi baru tidak gampang main timnas indonesia tidak main timnas korea banyaknkeluhan ioc ttg naturalisasi,positive,48.69%,164
ya pssi benah habis abis ngejalanin bina usia muda tidak nunggu indonesia stand out asiadunia well ngomong ngomong timnas naturalisasi cmn mark klok sisa pemain diaspora milih ganti paspor,negative,94.40%,276
ya salah bina indonesia emang kualitas pemain indonesia bagus ya tidak shin tae yong cari pemain keturunannaturalisasi latih timnas shin tae yong ngajarin basic kayak passingkontrol,negative,76.26%,253
kaum adam longo wags pemain naturalisasi timnas indonesia,negative,72.69%,69
ngandelin sistem bina usia muda indonesia bapuk tidak mumpuni langsung andal naturalisasi gt anak muda kesima gt masuk akademi gt proses gt timnas junior senior,negative,98.37%,230
tolong media media indonesia henti dengung berita naturalisasi pesepakbola turun indonesia tolong banget mah tidak sayang karier pemain lokal timnas emang yaa,negative,99.70%,203
harap skuad timnas nambah pemain naturalisasi main abroad harap ajaib nasib tolong pihak tim biar nonton piala dunia make jersey indonesia utopia but why not,negative,66.19%,269
bukan naturalisasi turun its different naturalisasi pemain tidak milik darah usul bangsa indonesia turun pemain milik darah usul nenek moyang indonesia milik darah indonesia hak bel timnas,negative,73.58%,271
timnas indonesia timnas naturalisasi,neutral,97.87%,45
serius sih kalo bner naturalisasi indonesia kelas ketimbang tetangga pemain timnas bukan main klub kaleng kaleng,positive,83.01%,142
w rela timnas indonesia main diasporanaturalisasi sehat mental tonton,positive,47.03%,97
pemain naturalisasi prediksi masuk line up laga leg ii timnas indonesia vs brunei darussalam,neutral,99.50%,102
kevin diks netizen calon pemain naturalisasi incar pssi timnas indonesia kevin diks tangkap kamera suka postingan instagram erick thohir sambut nathan tjoe a on,neutral,98.88%,222
pemain naturalisasi prediksi starter timnas indonesia vs brunei darussalam,neutral,99.49%,92
siap u emang beberapapemain titip timnas manggil arthur sy heran susah maju sepakbola indonesia epa bayar timnas era shin tae yong kabar titip shin tae yong sampe naturalisasi pemain,negative,89.39%,283
kevin diks emil audero pemain naturalisasi timnas indonesia,neutral,99.36%,80
serius pemain turun indonesia belanda nathan tjoe a on pilar naturalisasi timnas indonesia ancam nasib penggawa,neutral,89.62%,166
naturalisasi cari pemain diaspora timnas indonesia jalan bijak pakai shin tae yong pssi timnas jelek dg bijak,negative,99.25%,215
exco pssi arya mahendra sinulingga sinyal timnas indonesia datang pemain naturalisasi patil yak,neutral,97.96%,149
bibit muda indonesia bagus bagus pemain pemain timnas skrg udah top perform pemain naturalisasi dh negara naturalisasi tim sepakbola gimna,positive,49.70%,214
calon pemain naturalisasi baru timnas indonesia,neutral,99.48%,50
posisi main nathan tjoe a on calon pemain naturalisasi timnas indonesia piala asia,neutral,99.63%,89
calon pemain naturalisasi timnas indonesia nathan tjoe a on ciduk saksi laga timnas indonesia kontra brunei darussalam sugbk kode,neutral,99.51%,145
shin tae yong kecewa performa pemain naturalisasi penggawa timnas indonesia,neutral,73.20%,101
kabar naturalisasi nathan tjoe a on santer dengar september aku bicara pssi sirat ingin seragam timnas indonesia,neutral,91.76%,207
nathan tjoe a on pemain naturalisasi timnas indonesia nilai pasar capai rp miliar,neutral,99.43%,95
erick thohir kenal bek swansea city calon pemain naturalisasi timnas indonesia presiden jokowi,neutral,99.48%,100
nathan bela timnas indonesia serius sedia kuat timnas indonesia bapak dikenalin presiden erick erick terang hadir pemain pemain naturalisasi tembus,neutral,69.98%,265
rapor pemain naturalisasi timnas indonesia hajar brunei elkan baggott moncer,neutral,87.38%,92
serius nathan ikut program naturalisasi timnas indonesia dibuktikkan sugbk malam,neutral,98.65%,106
calon pemain naturalisasi nathan tjoe a on hadir tanding timnas indonesia vs brunei darussalam temu presiden joko widodo,neutral,99.69%,138
bek naturalisasi timnas indonesia shayne pattynama aku tidak sabar bela garuda hadap brunei darussalam,neutral,90.84%,131
timnas indonesia kuat pemain naturalisasi main liga italia liga inggris via,neutral,99.42%,100
shin tae yong naturalisasi nathan tjoe a on lancar lini tahan timnas indonesia kokoh,neutral,98.04%,101
shin tae yong tanggap rumor pratama arhan lapor rapat klub k league latih timnas indonesia bicara naturalisasi bek klub liga inggris swansea city lengkap,neutral,99.12%,227
shin tae yong buka suara naturalisasi bek swansea city timnas indonesia,neutral,99.74%,94
cek profil lengkap harga pemain naturalisasi timnas indonesia kuat tim liga italia inggris,neutral,99.54%,107
biodata agama shayne pattynama pemain timnas indonesia gagal naturalisasi proses pindah federasi,neutral,99.55%,119
update pemain naturalisasi timnas indonesia shin tae yong isyarat bek swansea city gabung saing shayne,neutral,99.75%,113
kamboja naturalisasi privat mbarga lawan timnas indonesia,neutral,99.44%,78
timnas indonesia naturalisasi pemain baru sosok pindah kewarganegaraan bek swansea city nathan tjoe a on,neutral,99.65%,151
latih timnas indonesia shin tae yong buka peluang pemain naturalisasi masuk skuad impi next nathan tjoe a on jay idzes,neutral,93.43%,169
dapat naturalisasi pemain main swansea,neutral,98.10%,81
profil nathan tjoe a on calon pemain naturalisasi timnas indonesia,neutral,99.67%,71
pemain naturalisasi jay idzes nathan tjoe a on gabung timnas indonesia,neutral,99.69%,89
latih timnas indonesia shin tae yong kembang naturalisasi nathan tjoe a on,neutral,99.73%,88
shin tae yong pemain naturalisasi tambah timnas indonesia jelang piala asia,neutral,99.56%,86
amunisi proses naturalisasi pemain belanda nathan tjoe a on df kabar lancar utara langsung latih kepala timnas indonesia shin tae yong damping latih perdana timnas indonesia kemarin cnn indonesia,neutral,99.52%,246
shin tae yong buka suara naturalisasi bek swansea city timnas indonesia lancar,neutral,99.61%,101
bek timnas indonesia bukan bek naturalisasi min,neutral,72.27%,47
kalo main timnas tidak naturalisasi warga indonesia,negative,54.11%,78
bek swansea city nathan tjoe a on naturalisasi timnas indonesia,neutral,99.75%,79
mantap pemain naturalisasi harga rp miliar peluang bela timnas indonesia piala asia qatar,neutral,84.51%,102
serang ganas timnas indonesia bobol gawang brunei darussalam nomor pemain naturalisasi,neutral,99.24%,99
jordi kecewa kuat timnas indonesia vs brunei darussalam pemain naturalisasi alami cedera bela johor darul takzim,negative,95.61%,144
latih kiper timnas indonesia ungkap skuad garuda tidak desak naturalisasi kiper,neutral,99.24%,118
asisten shin tae yong tugas latih kiper timnas indonesia nilai butuh naturalisasi sektor jaga gawang desak,neutral,98.71%,145
latih kiper timnas indonesia bicara naturalisasi emil audero cyrus margono,neutral,99.73%,86
timnas indonesia butuh naturalisasi emil audero cyrus margono,neutral,99.72%,78
bek muda rp miliar turun jerman kuat timnas indonesia naturalisasi cek wa panas na angga gen z spd kamis cianjur nescafe polri sore jakarta udil,neutral,99.74%,165
latih timnas indonesia shin tae yong kabar tidak lirik calon pemain naturalisasi timnas indonesia cyrus margono lengkap,neutral,98.77%,146
timnas indonesia datang pemain naturalisasi,neutral,99.65%,57
jay idzes debut timnas indonesia pssi proses naturalisasi kemenkumham,neutral,99.78%,101
jelang hadir serang naturalisasi tambah shin tae yong pecut bomber ganas timnas indonesia via,neutral,99.69%,106
kalo tambah pemain naturalisasi timnas indonesia harap pemain kevin diks bakarbessy,neutral,92.71%,111
pemain naturalisasi laga timnas indonesia kualifikasi piala dunia,neutral,97.43%,87
striker rumor calon pemain naturalisasi timnas indonesia,neutral,99.56%,78
profil jay idzes pemain proses naturalisasi bela timnas indonesia,neutral,99.71%,84
profil jay idzes calon pemain naturalisasi selang kuat timnas indonesia,neutral,99.51%,107
pssi gencar naturalisasi turun timnas indonesia baru jay idzes proses pindah kewarganegaraan,neutral,99.77%,132
proses naturalisasi jay idzes kemenkumham ri penasaran ngeliat bek venesia main timnas doi liat top banget deh,positive,99.67%,156
proses naturalisasi jay idzes selang pemain naturalisasi timnas indonesia bek ungkap bangga bela timnas indonesia,neutral,68.55%,193
calon pemain naturalisasi jay idzes bagi bangga hadap media belanda bela timnas indonesia,positive,66.69%,123
timnas indonesia serius cari kipeer naturalisasi pssi tinggal tunggu arah shin tae yong,neutral,99.69%,89
calon pemain naturalisasi jangan senang shin tae yong syarat gabung timnas indonesia,neutral,88.71%,120
proses naturalisasi jay idzes timnas indonesia asuh shin tae yong sorot media malaysia simak berita lengkap jodie hamil denny caknan cium amanda patriark manopo ginting okok dear j kades whoosh,neutral,99.62%,219
stok bek naturalisasi timnas indonesia tumpuk era shin tae yong,neutral,97.58%,68
media malaysia bilang naturalisasi jay idzes timnas indonesia asuh shin tae yong,neutral,93.51%,112
pssi hidup minat naturalisasi emil audero mulyadi timnas indonesia,neutral,99.69%,75
naturalisasi cyrus margono pssi tegas timnas indonesia stok kiper limpah,neutral,99.67%,94
kabar naturalisasi jay idzes gelandang serie b siap bela timnas indonesia piala asia,neutral,99.69%,98
timnas indonesia pemain naturalisasi sosok,neutral,99.17%,71
instagram calon naturalisasi timnas indonesia harga rp miliar banjir netizen,neutral,99.62%,81
pssi naturalisasi emil audero mulyadi naturalisasi cek lengkap,neutral,99.78%,96
pssi bocor rencana pemain naturalisasi timnas indonesia proses jay idzes lengkap,neutral,99.47%,100
timnas indonesia datang naturalisasi kiper inter mil,neutral,99.79%,63
update progres naturalisasi jay idzes timnas indonesia,neutral,99.60%,64
update progres naturalisasi jay idzes timnas indonesia masuk kemenkumham pssi dorong proses naturalisasi pemain lahir belanda jay idzes bek venezia serie b liga italia proyeksi bela timnas indonesia,neutral,98.98%,244
update pemain naturalisasi timnas indonesia jay idzes proses cyrus margono wni,neutral,99.79%,103
media korea selatan bocor nama pemain naturalisasi timnas indonesia bek cm sassuolo lengkap,neutral,99.58%,110
shin tae yong syarat khusus pemain naturalisasi gabung timnas indonesia,neutral,99.73%,94
deret pemain naturalisasi sukses gagal level eropa timnas indonesia teman,neutral,94.88%,115
statistik harga pasar ryan flamingo calon pemain naturalisasi timnas indonesia,neutral,99.66%,82
bela timnas indonesia euro bonucci pemain naturalisasi indonesia indonesia pindah uefa biar euro,neutral,99.57%,117
indonesia gantung pemain naturalisasi pemain lokal abroad makan shin tae yong percaya saing afc u pemain pilih main emang gap pemain timnas butuh,negative,73.39%,278
tidak tampil main kesan ag berterimakasih dukung timnas indonesia latih indra sjafri shin tae yong pakai pemain naturalisasi lokal pret timnas ya tetep timnas kalah ya sedih,positive,83.79%,267
timnas indonesia maju naturalisasi latih pemain suporter,neutral,88.33%,85
kontra same naturalisasi pemain turun darah indonesia tidak mereke hak bele timnas mereke main gairah bede lokal mainye gantung bise titip amplop,negative,95.78%,222
bek sassuolo respon positif kait rencana naturalisasi gabung timnas indonesia,neutral,98.57%,101
hal kabar jay idzes umum naturalisasi pssi lanjut mode senyap buru pemain naturalisasi timnas indonesia media pemain turun kabar sedia bela timnas indonesia,neutral,95.96%,249
bek naturalisasi timnas indonesia sandy walsh ungkap kondisi pasca alami cedera kepala buat kabar gegar otak ringan laga kv mechelen vs oh leuven sabtu,neutral,99.58%,186
pemain naturalisasi panggil shin tae yong bela timnas indonesia,neutral,99.74%,89
dapat psi langkah cepat kejar tinggal spt hal indonesia lari tangan jokowi spt hal timnas pssi tangan erick thohir amp shin tae yong suntik pemain naturalisasi risiko dulang kritik,negative,61.89%,284
pemain naturalisasi shayne pattynama alas kuat timnas indonesia bukan dulang popularitas,neutral,98.17%,135
striker naturalisasi belanda susah timnas senior belanda kurang stok striker no murni depay luuk weswos pemain muda belanda darah indonesia bagus klub rekrut knvb duluan,negative,75.89%,246
ngomong fakta bener timnas asing pemain naturalisasi iya pemain main bareng shin tae yong paham naik level nya sepakbola indonesia bkn timnas nya pemain lokal utama,positive,93.51%,285
target naturalisasi pssi kevin diks kuat timnas indonesia pecah rekor sandy walsh,neutral,99.20%,109
tidak naturalisasi timnas perancis kelas indonesia,negative,82.51%,67
talenta lokal indonesia udah tidak timnas pake naturalisasi,negative,94.79%,84
serang naturalisasi rafael struick ciduk suka like foto artis cantik davina karamoy gosip mantan rekan timnas indonesia asnawi mangkualam,neutral,98.12%,194
piala aff coach aji nyebut latih latih lokal layak ngelatih timnas ketimbang shin tae young shin tae yong pakai striker naturalisasi ketimbang striker lokal coach aji tidak senang indonesia kalah,positive,83.26%,278
pemain naturalisasi kuat timnas indonesia piala asia u,neutral,96.54%,85
indonesia panggung dunia gelar piala dunia u pemain naturalisasi kuat timnas salah upaya ketua pssi erick thohir bawa garuda dunia presiden fifa hadir,neutral,83.04%,246
hitung indonesia gelar event piala dunia u siap tunjang sukses event tsb pemain naturalisasi kuat squad timnas u,neutral,91.35%,205
rapor pemain naturalisasi timnas indonesia kualifikasi piala asia u,neutral,99.71%,70
salah pemain timnas indonesia rasa main piala dunia u naturalisasi bela spanyol u tanding piala dunia u,positive,55.95%,176
erickthohirnews erick thohir polemik pemain naturalisasi timnas indonesia bangkitbersamaet,neutral,99.73%,108
erick thohir bicara polemik local pride vs naturalisasi timnas indonesia bang klik baca kompascom baca berita iklan,neutral,99.55%,142
shin tae yong media china naturalisasi matheus pato timnas indonesia,neutral,99.70%,95
erickthohirnews erick thohir bicara polemik local pride vs naturalisasi timnas indonesia bangkitbersamaet,neutral,99.66%,113
ketua pssi erick thohir masalah pemain lokal naturalisasi bela timnas indonesia orang indonesia kansaya bangsa buka erick lt,neutral,70.35%,232
ohh sosok ayah dri joao cancelo naturalisasi cancelo timnas indonesia,neutral,91.38%,92
rafael struick milik cerita tarik daftar pemain naturalisasi timnas indonesia incar shin tae yong hamdan hamedan cari rafael struick game lengkap,neutral,94.55%,192
ketua pssi kejut pemain naturalisasi jay idzes kuat timnas indonesia,neutral,99.56%,103
timnas indonesia cita eropa tokcer berkat pemain naturalisasi,positive,95.69%,72
moga timnas pssi tidak naturalisasi ya bangga produk lokal indonesia mohon benah darurat merosot prestasi pelatnas pbsi sebentar asi games paris,negative,78.44%,203
moga timnas tidak rekrut pemain naturalisasi bangga produk lokal indonesia,negative,85.34%,89
naturalisasi ketua pssi erick thohir warna energi timnas indonesia,neutral,64.38%,107
ivar jenner pemain naturalisasi timnas indonesia u panggil timnas belanda,neutral,99.68%,87
tidak kurang bangga timnas indonesia timnas jepang orang naturalisasi program federasi pssi program jangka kembang timnas tidak sia,positive,87.32%,264
ok erick gas jangan lupa jasa staff latih timnas coach shin tae yong program naturalisasi tolong cari bagus kualitas semangat selamat timnas indonesia afc,positive,87.45%,226
komentar pemain pemain naturalisasi timnas indonesia bawa warna dimensi skuad garuda setuju jebreeeteam,neutral,91.03%,161
timnas embel indonesia pemain naturalisasi chuaksssss,negative,99.52%,80
gila sih mees hilgers udah kaya striker timnas indonesia real life tidak naturalisasi,negative,99.19%,111
calon pemain naturalisasi timnas indonesia jay idzes malu kiper latih manchester united lengkap,neutral,99.46%,134
potensi pemain naturalisasi timnas indonesia u zico soree sorot publik,neutral,99.64%,88
